id,description,tags
3100,"River Runs Through It, A (1992), Drama",beautifully filmed|brad pitt|cinematography|classic|coming of age|father-son relationship|religion
6755,"Bubba Ho-tep (2002), Comedy, Horror",comedy|cult classic|cult film|death|funny|great soundtrack|hilarious|horror|martial arts|mental illness|quirky
7460,"Coffee and Cigarettes (2003), Comedy, Drama",atmospheric|bill murray|black and white|boring|dialogue|dialogue driven|good dialogue|surreal
8947,"Grudge, The (2004), Horror, Mystery, Thriller",atmospheric|horror|japan|nonlinear|remake|suicide
27721,"Very Long Engagement, A (Un long dimanche de fiançailles) (2004), Drama, Mystery, Romance, War",based on a book|boring|confusing|depressing|paris|romance|slow paced|war
40339,"Chicken Little (2005), Action, Adventure, Animation, Children, Comedy, Sci-Fi",aliens|animation|coming of age|cute|disney|father-son relationship|funny|pixar|silly
43836,"Pink Panther, The (2006), Adventure, Comedy, Crime",comedy|crime|cult film|death|heist|investigation|murder|mystery|new york city|parody|remake|spy
55805,"Before the Devil Knows You're Dead (2007), Crime, Drama, Thriller",acting|crime|death|drama|drugs|investigation|murder|neo-noir|new york city|nonlinear|nudity (topless)|sad|social commentary|tense|thriller|violence
61248,"Death Race (2008), Action, Adventure, Sci-Fi, Thriller",action|car chase|cheesy|dystopia|gore|predictable|prison|remake|violence
72733,"Invictus (2009), Drama",based on a true story|biography|clint eastwood|drama|matt damon|morgan freeman|politics|racism
73344,"Prophet, A (Un Prophète) (2009), Crime, Drama",acting|cinematography|corruption|drugs|great acting|gritty|long|mafia|overrated|prison|psychology
122896,"Pirates of the Caribbean: Dead Men Tell No Tales (2017), (no genres listed)",action|adventure|dark|disney|fantasy|funny|johnny depp|plot holes|sequel|special effects|violence|violent
122898,"Justice League (2017), Action, Adventure, Sci-Fi",apocalypse|assassin|batman|comic book|dark hero|death|dialogue|ensemble cast|humor|investigation|martial arts|marvel|murder|prison|sequel|superhero|surrealism|technology|violence
125916,"Fifty Shades of Grey (2015), Drama, Romance",bad acting|based on a book|boring|chick flick|drama|fantasy|love|nudity (topless)|plot holes|psychological|sexuality|soundtrack|stupid
130634,"Furious 7 (2015), Action, Crime, Thriller",action|car chase|crime|drama|emotional|ensemble cast|family|great soundtrack|happy ending|heist|humorous|long|plot holes|revenge|silly|stupid|suspense|technology|thriller|unrealistic
194951,"Bird Box (2018), Drama, Sci-Fi, Thriller",apocalypse|atmospheric|based on a book|boring|creepy|drama|dystopia|future|horror|nonlinear|overrated|plot holes|post-apocalyptic|predictable|slow paced|suicide|survival|suspense|thriller
5,"Father of the Bride Part II (1995), Comedy",comedy|family|fantasy|heartwarming|humorous|remake|sentimental|sequel|touching
151,"Rob Roy (1995), Action, Drama, Romance, War",adventure|atmospheric|biography|history|rape|tense|western
610,"Heavy Metal (1981), Action, Adventure, Animation, Horror, Sci-Fi",drugs|fantasy|gore|inspirational|nudity (full frontal)|nudity (topless)|sci-fi|surreal
783,"Hunchback of Notre Dame, The (1996), Animation, Children, Drama, Musical, Romance",animation|based on a book|dark|disney|emotional|heartwarming|musical|paris|religion|sentimental|soundtrack
1284,"Big Sleep, The (1946), Crime, Film-Noir, Mystery",atmospheric|based on a book|black and white|classic|crime|detective|dialogue|film noir|imdb top 250|murder|mystery|neo-noir|suspense|thriller
1688,"Anastasia (1997), Adventure, Animation, Children, Drama, Musical",adventure|animation|classic|cute|funny|great soundtrack|love|magic|music|musical|romantic|soundtrack|strong female lead|witty
1960,"Last Emperor, The (1987), Drama",acting|based on a true story|biography|boring|cinematography|epic|historical|history|japan|long|murder|music|oscar (best picture)|prison|slow|suicide|too long|true story|visually stunning|war|world war ii
2004,"Gremlins 2: The New Batch (1990), Comedy, Horror",christmas|cult film|new york city|satire|satirical|sequel|social commentary|steven spielberg|surprise ending
2580,"Go (1999), Comedy, Crime",black comedy|car chase|christmas|comedy|crime|cult film|dark comedy|drugs|ensemble cast|funny|humorous|multiple storylines|nonlinear|nudity (topless)|revenge|storytelling
3386,"JFK (1991), Drama, Mystery, Thriller",boring|conspiracy|controversial|death|dialogue|drama|ensemble cast|great acting|historical|history|investigation|long|overrated|politics|thriller|true story
3745,"Titan A.E. (2000), Action, Adventure, Animation, Children, Sci-Fi",aliens|animation|apocalypse|cliche|cult film|dystopia|father-son relationship|future|futuristic|love|matt damon|murder|plot holes|post-apocalyptic|prison|sci-fi|space|space travel|violence
5014,"I Am Sam (2001), Drama",acting|bittersweet|feel-good|mental illness|psychology|soundtrack|thought-provoking|touching|unrealistic
5954,"25th Hour (2002), Crime, Drama",crime|dark|depressing|drugs|edward norton|friendship|homosexuality|japan|melancholy|new york city|powerful ending|prison|psychology|surrealism
6440,"Barton Fink (1991), Drama, Thriller",apocalypse|black comedy|cinematography|coen brothers|cult film|dark comedy|disturbing|hallucinatory|murder|neo-noir|new york city|quirky|satire|serial killer|stylized|surprise ending|surreal|surrealism|twist|weird
6867,"Station Agent, The (2003), Comedy, Drama",cute|friendship|loneliness|melancholy|quirky|satirical|slow paced|touching
47997,"Idiocracy (2006), Adventure, Comedy, Sci-Fi, Thriller",black comedy|car chase|cult film|dark comedy|dystopia|friendship|funny|future|futuristic|genius|military|narrated|overrated|politics|prison|satire|satirical|social commentary|space|stupid|surprise ending|thought-provoking|time travel
53519,"Death Proof (2007), Action, Adventure, Crime, Horror, Thriller",black comedy|car chase|dark comedy|dialogue|feminism|friendship|gore|great dialogue|great soundtrack|murder|overrated|quentin tarantino|revenge|slow|slow paced|stylish|stylized|too long|violence|violent
64620,"Frost/Nixon (2008), Drama",based on a true story|boring|good acting|historical|history|intelligent|politics|suspense|true story
65514,"Ip Man (2008), Action, Drama, War",action|biography|cliche|drama|family|inspirational|martial arts|predictable|racism
89904,"The Artist (2011), Comedy, Drama, Romance",black and white|boring|cinematography|drama|emotional|original|oscar (best picture)|overrated|romance|sentimental|silly|visually appealing
356,"Forrest Gump (1994), Comedy, Drama, Romance, War",1980s|acting|action|adventure|bad acting|based on a book|beautiful|biography|bittersweet|boring|cheesy|chick flick|classic|comedy|coming of age|cult classic|cult film|cute|dark comedy|drama|emotional|epic|excellent script|family|fantasy|feel good movie|feel-good|friendship|fun|funny|good acting|good dialogue|great acting|great performances|great soundtrack|happy ending|heartwarming|historical|history|humor|humorous|imdb top 250|inspirational|intense|interesting|long|love|love story|masterpiece|mental illness|military|multiple storylines|narrated|new york city|original|oscar (best picture)|overrated|philosophical|political|psychological|psychology|quirky|quotable|racism|realistic|reflective|romance|sad|satire|sentimental|sexuality|silly|slow|smart|social commentary|soundtrack|special effects|steven spielberg|storytelling|stupid|surprise ending|thought-provoking|tom hanks|too long|touching|unpredictable|war|whimsical|witty
434,"Cliffhanger (1993), Action, Adventure, Thriller",action|clint eastwood|heist|organized crime|thriller
596,"Pinocchio (1940), Animation, Children, Fantasy, Musical",animation|classic|cute|disney|disturbing|fairy tale|fantasy|fun|magic|music|musical|pixar|weird
1562,"Batman & Robin (1997), Action, Adventure, Fantasy, Thriller",action|artificial intelligence|atmospheric|bad acting|bad science|batman|black comedy|car chase|cheesy|comic book|death|funny|george clooney|heist|martial arts|murder|quotable|revenge|sequel|silly|soundtrack|superhero|surprise ending|violence
1994,"Poltergeist (1982), Horror, Thriller",1980s|classic|creepy|family|fun|horror|love|steven spielberg|supernatural|suspense|thriller
2080,"Lady and the Tramp (1955), Animation, Children, Comedy, Romance",animation|christmas|classic|disney|drama|family|romance|romantic
2278,"Ronin (1998), Action, Crime, Thriller",action|boring|car chase|crime|intelligent|mafia|organized crime|paris|robert de niro|thriller|violence
2420,"Karate Kid, The (1984), Drama",1980s|classic|comedy|coming of age|feel-good|inspirational|martial arts|violence
2791,"Airplane! (1980), Comedy",absurd|classic|clever|comedy|dark comedy|fun|funny|genius|hilarious|original|parody|quotable|romance|silly|war
5388,"Insomnia (2002), Action, Crime, Drama, Mystery, Thriller",al pacino|atmospheric|christopher nolan|corruption|dark|detective|love|murder|neo-noir|psychological|psychology|remake|robin williams|soundtrack|thought-provoking
6541,"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003), Action, Fantasy, Sci-Fi",alternate reality|comic book|cult film|england|gothic|martial arts|murder|nazis|suicide|superhero|supernatural|surprise ending|too long|vampires|violence
6953,"21 Grams (2003), Crime, Drama, Mystery, Romance, Thriller",boring|crime|death|depressing|drama|intense|melancholy|multiple storylines|murder|nonlinear|nudity (topless)|psychological|realistic|religion|remake|revenge|slow|storytelling|thriller|violent
30707,"Million Dollar Baby (2004), Drama",bittersweet|cheesy|clint eastwood|dark|dark hero|death|depressing|drama|emotional|england|friendship|good acting|great acting|gritty|imdb top 250|inspirational|intense|morgan freeman|murder|mythology|narrated|oscar (best picture)|overrated|philosophical|predictable|road trip|sad|slow|slow paced|social commentary|strong female lead|suicide|thought-provoking|violence
30749,"Hotel Rwanda (2004), Drama, War",based on a true story|biography|classic|death|depressing|drama|family|history|imdb top 250|murder|racism|sad|survival|thriller|true story|violence|war
48385,"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006), Comedy",absurd|boring|classic|comedy|controversial|crude humor|feminism|funny|hilarious|love|mockumentary|new york city|nudity (full frontal)|overrated|quotable|racism|road trip|satire|social commentary|weird
53000,"28 Weeks Later (2007), Horror, Sci-Fi, Thriller",action|death|england|gore|military|music|plot holes|post-apocalyptic|sequel|supernatural|surprise ending|survival|violence|zombies
66097,"Coraline (2009), Animation, Fantasy, Thriller",alternate reality|animation|atmospheric|based on a book|boring|creepy|dark|depressing|dystopia|fairy tale|fantasy|fantasy world|gothic|overrated|slow|storytelling|surreal|thought-provoking|tim burton|unique|visually appealing|visually stunning|whimsical
72998,"Avatar (2009), Action, Adventure, Sci-Fi, IMAX",action|adventure|aliens|animation|bad science|beautiful|beautiful scenery|boring|cinematography|cliche|dialogue|drama|epic|fantasy|funny|future|futuristic|great soundtrack|happy ending|heartwarming|imdb top 250|intense|long|love story|military|music|mythology|overrated|philosophical|politics|predictable|racism|robots|romance|sci-fi|science|science fiction|social commentary|space|space travel|special effects|surreal|technology|thought-provoking|too long|unrealistic|violent|virtual reality|visually appealing|visually stunning|war
90405,"In Time (2011), Crime, Sci-Fi, Thriller",anti-hero|boring|car chase|cheesy|corruption|crime|cyberpunk|death|detective|dystopia|existentialism|future|love|murder|original|plot holes|predictable|reflective|revenge|sci-fi|social commentary|suicide|surprise ending|suspense|thought-provoking|thriller|violence
111362,"X-Men: Days of Future Past (2014), Action, Adventure, Sci-Fi",action|artificial intelligence|comedy|comic book|cyberpunk|death|dialogue|disney|dystopia|ensemble cast|funny|martial arts|marvel|military|murder|new york city|nonlinear|paris|prison|revenge|sci-fi|science fiction|sequel|social commentary|special effects|superhero|surprise ending|surrealism|survival|suspense|time travel|violence
